"id","assum_check","seniority","teach"
4221,"Insufficient","Faculty","Yes"
4226,"No checks","PhD","Yes"
4260,"No checks","PostDoc","No"
4273,"Insufficient","Faculty","No"
4301,"No checks","PostDoc","No"
4318,"No checks","PostDoc","No"
4384,"Full checks","PhD","No"
4438,"Full checks","Faculty","Yes"
4452,"Insufficient","PhD","Yes"
4484,"Full checks","PostDoc","Yes"
4566,"No checks","PhD","Yes"
4569,"Full checks","PhD","Yes"
4597,"No checks","PostDoc","Yes"
4608,"No checks","PostDoc","No"
4680,"No follow-up","Faculty","Yes"
4683,"No checks","Faculty","No"
4689,"No follow-up","Faculty","No"
4738,"No checks","PostDoc","Yes"
4739,"No checks","Faculty","Yes"
4825,"No follow-up","PostDoc","No"
4832,"No follow-up","Faculty","Yes"
4844,"Insufficient","Faculty","Yes"
4858,"Full checks","Faculty","No"
4970,"Full checks","PhD","No"
4979,"No checks","Faculty","Yes"
5005,"No follow-up","Faculty","No"
5016,"Insufficient","PhD","No"
5065,"Full checks","Faculty","Yes"
5090,"No checks","PhD","No"
5101,"Insufficient","Faculty","No"
5128,"Full checks","PhD","Yes"
5184,"No follow-up","PhD","Yes"
5246,"No follow-up","Faculty","No"
5248,"Insufficient","PhD","No"
5262,"No follow-up","Faculty","No"
5341,"Full checks","Faculty","Yes"
5343,"No checks","PostDoc","Yes"
5344,"No follow-up","Faculty","No"
5367,"No follow-up","PostDoc","Yes"
5370,"No checks","PhD","Yes"
5398,"No checks","PostDoc","Yes"
5400,"No follow-up","PostDoc","Yes"
5443,"Insufficient","PhD","No"
5460,"No checks","PhD","No"
5475,"Insufficient","PhD","Yes"
5501,"No follow-up","PhD","No"
5533,"No follow-up","PhD","No"
5551,"Full checks","PhD","No"
5578,"No checks","Faculty","Yes"
5613,"Full checks","PostDoc","Yes"
5626,"Insufficient","PostDoc","Yes"
5655,"No follow-up","Faculty","Yes"
5668,"No checks","Faculty","Yes"
5714,"Full checks","PhD","Yes"
5746,"Insufficient","PostDoc","No"
5754,"Full checks","PostDoc","No"
5778,"No checks","PhD","No"
5782,"No follow-up","Faculty","Yes"
5916,"Full checks","Faculty","No"
5928,"No follow-up","PhD","Yes"
5942,"No checks","PostDoc","No"
5977,"Full checks","Faculty","Yes"
5987,"Insufficient","Faculty","No"
5990,"No checks","PostDoc","Yes"
6019,"No follow-up","Faculty","No"
6062,"No follow-up","PostDoc","No"
6075,"Full checks","PhD","Yes"
6167,"No checks","PhD","Yes"
6243,"No follow-up","PhD","No"
6269,"Insufficient","PhD","No"
6283,"No follow-up","PostDoc","Yes"
6297,"Insufficient","PhD","Yes"
6352,"No checks","PhD","No"
6372,"No follow-up","PhD","No"
6385,"Full checks","PostDoc","Yes"
6460,"Full checks","PhD","Yes"
6507,"Insufficient","PostDoc","No"
6552,"No follow-up","PhD","Yes"
6574,"Insufficient","PostDoc","No"
6623,"Full checks","PhD","No"
6659,"Insufficient","PhD","No"
6705,"No follow-up","Faculty","No"
6712,"Insufficient","PostDoc","No"
6713,"No follow-up","PhD","Yes"
6728,"Full checks","PhD","No"
6742,"No checks","Faculty","No"
6772,"No checks","Faculty","No"
6778,"Full checks","PostDoc","Yes"
6799,"Full checks","PostDoc","No"
6813,"Full checks","PhD","Yes"
6816,"Insufficient","PostDoc","No"
6840,"No checks","Faculty","No"
6890,"Insufficient","PhD","Yes"
6933,"Insufficient","Faculty","No"
6940,"No checks","PostDoc","Yes"
6957,"No checks","PostDoc","Yes"
7023,"Insufficient","PhD","No"
7099,"Insufficient","Faculty","Yes"
7115,"Insufficient","PhD","No"
7130,"Insufficient","PhD","No"
7133,"Insufficient","PhD","Yes"
7151,"No checks","PhD","No"
7179,"No follow-up","PhD","No"
7228,"Full checks","PostDoc","Yes"
7235,"No checks","PostDoc","No"
7328,"No checks","Faculty","Yes"
7343,"No follow-up","Faculty","No"
7384,"Insufficient","PhD","Yes"
7461,"No follow-up","Faculty","Yes"
7628,"Full checks","PostDoc","Yes"
7732,"Full checks","Faculty","No"
7790,"Full checks","PhD","No"
7858,"Full checks","PostDoc","No"
7903,"Full checks","Faculty","Yes"
7905,"No follow-up","PhD","Yes"
7934,"No checks","PostDoc","No"
7965,"Insufficient","PhD","Yes"
7999,"No checks","PhD","No"
8000,"Full checks","PhD","Yes"
8038,"No checks","PhD","No"
8043,"No checks","Faculty","No"
8079,"No checks","PostDoc","Yes"
8131,"No follow-up","PostDoc","No"
8154,"No follow-up","PhD","Yes"
8177,"Insufficient","PostDoc","No"
8193,"No follow-up","Faculty","No"
8222,"No checks","PostDoc","No"
8224,"No checks","Faculty","No"
8233,"Insufficient","PostDoc","Yes"
8307,"Insufficient","PostDoc","No"
8323,"No follow-up","PhD","No"
8337,"Insufficient","PostDoc","No"
8358,"No follow-up","Faculty","Yes"
8375,"Insufficient","PhD","Yes"
8386,"Full checks","Faculty","Yes"
8406,"Insufficient","PostDoc","Yes"
8407,"No follow-up","Faculty","No"
8454,"Insufficient","PostDoc","Yes"
8516,"Full checks","Faculty","Yes"
8531,"No checks","Faculty","No"
8533,"No checks","PostDoc","Yes"
8569,"Insufficient","Faculty","Yes"
8571,"No follow-up","PhD","No"
8575,"Insufficient","Faculty","Yes"
8598,"Insufficient","Faculty","No"
8613,"No follow-up","PostDoc","No"
8660,"No follow-up","PostDoc","Yes"
8663,"Full checks","Faculty","Yes"
8759,"Full checks","PostDoc","Yes"
8816,"No checks","Faculty","Yes"
8825,"No follow-up","Faculty","Yes"
8880,"No checks","PhD","Yes"
8887,"Full checks","PhD","Yes"
8891,"Insufficient","PostDoc","No"
8896,"No follow-up","Faculty","No"
8910,"No follow-up","Faculty","Yes"
8932,"Insufficient","PhD","Yes"
8965,"Insufficient","Faculty","No"
8981,"No follow-up","PhD","No"
9031,"Full checks","PostDoc","Yes"
9040,"No follow-up","PhD","No"
9092,"Full checks","PhD","Yes"
9121,"Insufficient","Faculty","Yes"
9147,"No follow-up","Faculty","No"
9223,"No follow-up","PhD","No"
9234,"No follow-up","Faculty","Yes"
9266,"Full checks","PhD","No"
9274,"Full checks","PostDoc","Yes"
9366,"No checks","PostDoc","Yes"
9441,"Full checks","PostDoc","No"
9464,"Insufficient","PostDoc","No"
9518,"Insufficient","Faculty","Yes"
9586,"No follow-up","PostDoc","Yes"
9590,"No checks","PostDoc","No"
9595,"No checks","PostDoc","No"
9628,"Full checks","PhD","Yes"
9637,"Full checks","PostDoc","Yes"
9662,"Insufficient","PostDoc","Yes"
9676,"Full checks","PostDoc","Yes"
9686,"No checks","Faculty","Yes"
9697,"Full checks","PhD","Yes"
9710,"No follow-up","Faculty","No"
9742,"Insufficient","Faculty","Yes"
9804,"Insufficient","Faculty","No"
9812,"No checks","PostDoc","No"
9816,"No follow-up","Faculty","No"
9827,"No checks","PhD","No"
9829,"No checks","Faculty","Yes"
9862,"Full checks","PostDoc","Yes"
9882,"No follow-up","PostDoc","Yes"
9898,"No checks","PostDoc","No"
9907,"Full checks","PhD","Yes"
9911,"Full checks","PostDoc","Yes"
9928,"No checks","Faculty","No"
9932,"Full checks","Faculty","No"
