unique_id,country,language,degree_major,degree_year,age,gender,spld,stars_test_1,stars_int_1,stars_int_2,stars_int_3,stars_test_3,stars_int_5,stars_test_4,stars_int_6,stars_test_6,stars_help_2,stars_help_3,stars_int_11,stars_test_8,stars_help_4
fbf01307,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,2,3,3,3,3,2,2,3,2,1,2,3,3,1
fdc75782,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,1,1,5,3,4,5,5,3,5,4,3,4,4,5
ff286a0d,Indonesia,Non-English,Psychology,NA,18-21,Female/Woman,I do not have an SpLD,1,2,1,2,2,1,2,2,1,2,2,1,2,1
02ada576,Netherlands,English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,5,3,3,3,5,2,5,3,4,3,3,3,2,2
02d2d877,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,3,3,3,3,3,3,2,2,2,2,3,3,2
034f0b3f,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,2,1,2,1,3,1,3,1,2,2,1,1,2,1
053cf5f8,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,3,3,4,4,2,4,4,3,1,1,2,1,2
0a27b1f0,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,2,3,2,3,2,3,2,3,2,1,4,3,2,1
0a5a9cf3,Netherlands,English,Psychology,1st Year,22-25,Female/Woman,I do not have an SpLD,2,1,2,3,3,1,3,1,4,2,2,2,3,1
0ab35b29,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,2,2,2,1,4,1,3,2,2,1,1,1,3,1
0b56a2b9,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,3,4,3,2,2,1,3,2,2,2,2,2,3,2
0b9ff8a5,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,2,2,2,5,2,5,1,4,3,2,2,5,2
0c036ff7,Netherlands,English,Psychology,1st Year,22-25,Female/Woman,I do not have an SpLD,4,2,1,1,5,1,1,3,5,2,1,2,4,2
164d2091,Netherlands,English,Psychology,2nd Year,26+,Male/Man,I do not have an SpLD,3,2,2,2,3,1,3,2,4,2,2,2,2,2
18f0f1ab,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,3,1,2,5,2,1,3,5,1,1,2,2,1
1b3d51d8,Netherlands,English,Psychology,1st Year,26+,Female/Woman,I do not have an SpLD,2,1,2,1,3,1,2,1,2,2,2,1,1,2
1c737b9b,Netherlands,English,Psychology,2nd Year,22-25,Female/Woman,I do not have an SpLD,1,2,3,1,4,1,4,3,3,2,2,2,2,1
1ca8f370,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,1,1,1,1,1,1,1,1,1,2,2,1,1,2
1d7a6791,Netherlands,English,Psychology,1st Year,22-25,Male/Man,I do not have an SpLD,2,3,3,3,3,1,5,3,3,4,4,4,3,3
1da67907,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,3,3,2,5,2,4,4,4,5,3,3,5,2
211ff18b,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,4,2,2,3,4,1,2,2,5,4,3,3,2,3
25fbf6bb,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,2,2,1,4,2,4,1,4,4,3,2,4,2
27fa0ff6,Netherlands,English,Psychology,1st Year,22-25,Male/Man,I do not have an SpLD,2,1,1,1,2,1,2,2,3,3,3,2,3,2
281bfd79,Netherlands,English,Psychology,1st Year,22-25,Female/Woman,I do not have an SpLD,5,4,3,3,5,1,5,2,5,5,2,2,2,2
2a0cf315,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,5,1,2,1,5,1,5,3,5,2,4,1,2,3
326f8b8b,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,1,1,1,1,2,1,3,1,3,1,1,2,2,2
37356959,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,ADHD/ADD,2,1,1,1,5,1,5,3,3,3,3,2,5,2
38c9fcb0,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,3,2,2,4,2,4,5,4,4,4,3,5,4
3f341301,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,4,4,4,4,2,3,2,3,3,2,4,4,3
3f3d37f6,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,2,1,1,1,3,1,2,2,2,1,1,1,1,1
3f684759,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,2,2,2,5,1,5,1,4,1,2,1,1,1
3f940fc8,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,1,1,2,2,3,1,2,1,3,2,1,2,2,1
408aad31,Netherlands,English,Psychology,1st Year,22-25,Male/Man,I do not have an SpLD,2,2,1,1,3,1,1,1,2,1,2,1,1,1
4453f81d,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,3,3,1,2,4,1,4,1,3,2,2,2,1,1
47dc6b33,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,2,1,2,4,1,3,2,3,3,3,2,3,2
495d547f,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,5,5,5,2,4,2,5,5,5,3,2,3,5,2
498a5f25,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,5,4,3,3,5,3,5,4,3,3,3,3,4,3
533a830a,Netherlands,English,Psychology,1st Year,26+,Male/Man,I do not have an SpLD,1,1,1,1,1,1,2,1,2,1,1,2,1,1
53b45c26,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,1,2,2,3,2,3,1,3,2,2,2,3,1
559f33c2,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,2,1,2,4,2,5,2,5,2,2,1,4,1
564d20dd,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,2,2,2,2,4,1,4,3,3,3,3,2,1,2
56af674d,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,1,1,1,3,1,4,2,4,2,2,1,4,2
582005f3,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,1,1,1,3,1,3,2,3,1,1,1,2,1
58f92a8c,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,2,1,2,1,3,2,3,1,4,3,2,1,2,2
601383a8,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,2,2,3,2,4,2,4,3,4,4,3,2,2,3
604a4df3,Netherlands,English,Psychology,1st Year,22-25,Male/Man,I do not have an SpLD,3,4,1,5,4,1,4,2,4,4,3,4,1,2
617c3167,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,1,2,1,1,2,2,3,2,3,2,1,2,1,1
6244431d,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,3,1,2,4,2,4,3,3,3,2,2,1,2
648ff768,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,2,2,2,4,3,4,3,2,4,2,2,3,2
687cf973,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,2,1,1,1,4,1,3,1,3,1,1,1,1,1
6f2d1968,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,1,2,2,2,4,1,2,2,2,4,4,2,4,1
6f5f0955,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,4,4,2,5,2,5,4,4,4,3,4,5,2
6f79c9d2,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,3,2,3,5,2,5,2,5,3,4,2,2,2
6ff24c73,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,2,4,4,3,4,4,1,4,4,2,4,2,1
73880f81,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,2,1,1,4,1,4,2,4,2,1,5,1,1
7b443616,Netherlands,English,Psychology,2nd Year,18-21,Male/Man,I do not have an SpLD,3,1,2,1,4,1,5,2,3,2,2,1,4,1
7d8c46f3,Netherlands,English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,3,5,4,2,5,2,5,5,4,3,1,5,4,1
7f7b4b78,Netherlands,English,Psychology,1st Year,26+,Male/Man,I do not have an SpLD,2,1,1,2,3,1,2,2,2,1,2,2,1,2
82c46d38,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,2,2,2,1,4,1,4,1,3,1,1,1,2,1
8af0f1fd,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,5,3,4,5,2,5,4,4,2,2,5,2,2
916a41bf,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,3,2,1,2,4,1,4,3,4,2,2,2,4,2
91a3994a,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,NA,1,1,1,1,3,1,3,1,1,2,2,1,1,3
91b6d27f,Netherlands,English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,1,1,1,1,2,1,2,1,2,1,1,1,1,1
95486343,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,2,1,2,1,4,1,5,3,5,3,3,1,2,2
970026f2,Netherlands,English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,3,3,3,2,3,3,3,2,4,2,3,2,2,2
97da0d14,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,NA,2,5,5,3,2,2,3,4,2,1,1,1,3,1
98972c15,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,2,3,3,4,3,4,3,2,2,2,3,4,2
9bd0b4a6,Netherlands,English,Psychology,1st Year,18-21,Male/Man,I do not have an SpLD,3,4,4,2,3,1,2,5,5,3,2,4,4,2
9fc43886,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,1,3,2,5,1,5,3,4,2,2,2,1,2
9fdff23d,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,3,2,3,3,3,3,3,3,2,3,2,2,2,3
a0769a11,Netherlands,English,Psychology,1st Year,22-25,Female/Woman,I do not have an SpLD,3,2,2,1,4,1,4,2,2,2,2,2,4,2
a110af8d,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,5,4,4,3,5,3,5,5,5,2,2,5,5,2
a1d6908f,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,5,5,2,4,5,1,5,2,5,4,3,4,5,2
a78cdb61,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,1,2,1,1,2,1,1,1,1,1,1,2,1,1
ac050d05,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,3,1,2,4,1,2,1,2,2,2,3,3,3
b1049ffd,Netherlands,English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,4,2,3,3,3,1,2,1,3,1,1,3,1,1
b41af645,Netherlands,English,Psychology,2nd Year,18-21,Female/Woman,Dyscalculia,5,4,5,5,5,3,5,5,5,5,4,5,5,5
b4fa792a,Netherlands,English,Psychology,1st Year,18-21,Male/Man,ADHD/ADD,2,1,3,2,4,1,2,2,2,3,3,2,4,3
b58b1627,Netherlands,English,Psychology,2nd Year,22-25,Female/Woman,ADHD/ADD,4,2,1,1,4,1,2,3,2,2,2,1,3,3
b59a29f7,Netherlands,English,Psychology,1st Year,18-21,Female/Woman,I do not have an SpLD,4,4,4,2,5,2,5,4,5,3,2,4,5,2
b7651058,Netherlands,English,Psychology,1st Year,26+,Male/Man,I do not have an SpLD,2,1,1,1,3,1,2,2,2,3,4,2,2,4
